Title,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count,Year,Cast 1,Cast 2,Cast 3,director_name,Runtime,Genre_Action,Genre_Art&Foreign,Genre_Classics,Genre_Comedy,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Kids&Family,Genre_Mystery,Genre_Romance,Genre_SciFi,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,cast1_oscar_nom,cast1_oscars,cast2_oscar_nom,cast2_oscars,cast3_oscar_nom,cast3_oscars,cast1_FB_likes,cast2_FB_likes,cast3_FB_likes,dir_oscar_nom,dir_oscars,director_awards,director_facebook_likes,cast_total_facebook_likes
Stella's Last Weekend,65.0,20,76.0,87,2018,Nat Wolff,Alex Wolff,Polly Draper,Polly Draper,102,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Brampton's Own,40.0,5,60.0,25,2018,Alex Russell,Rose McIver,Spencer Grammer,Michael Doneger,90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Been So Long,92.0,12,73.0,105,2018,Michaela Coel,Arinz Kene,George MacKay,Tinge Krishnan,99,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Forest of the Lost Souls (A Floresta das Almas Perdidas),73.0,15,71.0,70,2018,Daniela Love,Jorge Mota,Lgia Roque,Jos Pedro Lopes,71,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Rodin,30.0,40,22.0,43,2018,Iza Higelin,Severine Caneele,Vincent Lindon,Jacques Doillon,119,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,40.0,232.0,0.0
Mamma Mia! Here We Go Again,80.0,267,66.0,5151,2018,Meryl Streep,Pierce Brosnan,Colin Firth,Ol Parker,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21.0,3.0,0.0,0.0,2.0,1.0,11000.0,367.0,14000.0,0.0,0.0,0.0,21.0,0.0
A Prayer Before Dawn,92.0,61,74.0,1779,2018,Joe Cole,Vithaya Pansringarm,Panya Yimmumphai,Jean-Stphane Sauvaire,116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,233.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Catcher Was A Spy,32.0,75,53.0,481,2018,Paul Rudd,Mark Strong (II),Sienna Miller,Ben Lewin,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,20.0,0.0
"Don't Worry, He Won't Get Far on Foot",76.0,182,75.0,1539,2018,Joaquin Phoenix,Jonah Hill,Rooney Mara,Gus Van Sant,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,1.0,2.0,0.0,2.0,0.0,367.0,367.0,367.0,2.0,0.0,92.0,835.0,0.0
Loving Pablo,31.0,48,36.0,509,2018,Javier Bardem,Penelope Cruz,Peter Sarsgaard,Fernando Len de Aranoa,125,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
